date,fund_code,component_type,symbol,name,weight,return,contribution,note
2026-06-02,001118,holding,NVDA,Nvidia,0.09,-0.0068639720451515,-0.000617757484063635,disclosed holding
2026-06-02,001118,holding,MSFT,Microsoft,0.08,-0.0417136973711423,-0.003337095789691384,disclosed holding
2026-06-02,001118,holding,AAPL,Apple,0.07,0.0290229333658524,0.0020316053356096682,disclosed holding
2026-06-02,001118,holding,TSM,TSMC,0.06,0.0253885118899672,0.001523310713398032,disclosed holding
2026-06-02,001118,holding,GOOGL,Alphabet,0.05,-0.0385790291522863,-0.0019289514576143153,disclosed holding
2026-06-02,001118,holding,AMZN,Amazon,0.05,-0.0181429249589532,-0.00090714624794766,disclosed holding
2026-06-02,001118,holding,META,Meta,0.04,-0.0047295717669062,-0.000189182870676248,disclosed holding
2026-06-02,001118,holding,AVGO,Broadcom,0.04,0.0469595974654692,0.001878383898618768,disclosed holding
2026-06-02,001118,holding,TSLA,Tesla,0.03,0.0188996471561004,0.0005669894146830119,disclosed holding
2026-06-02,001118,holding,ASML,ASML,0.03,0.047157967640951,0.0014147390292285301,disclosed holding
2026-06-02,001118,benchmark_proxy,QQQ,Uncovered holdings proxy,0.4600000000000001,0.0046045493108255,0.0021180926829797303,proxy for undisclosed holdings
2026-06-02,001118,fx,USD/CNY,FX adjustment,1.0,-0.0001773815606335,-0.00017783441349176555,multiplicative currency conversion effect
2026-06-02,001118,fee,annual_fee,Daily fee impact,1.0,-7.172131147540982e-05,-7.172131147540982e-05,annual management and custody fee divided by trading days
